code,name,population,percentage
RUS,Russia,146727405,1.96%
RWA,Rwanda,11553188,0.15%
BLM,Saint Barthelemy (France),9417,0.00013%
KNA,Saint Kitts and Nevis,46204,0.00062%
LCA,Saint Lucia,186000,0.0025%
SPM,Saint Pierre and Miquelon (France),6286,0.000084%
VCT,Saint Vincent and the Grenadines,109991,0.0015%
WSM,Samoa,194899,0.0026%
SMR,San Marino,33005,0.00044%
SAU,Saudi Arabia,32248000,0.43%
SEN,Senegal,14799859,0.2%
SRB,Serbia,7076372,0.095%
SYC,Seychelles,93144,0.0012%
SLE,Sierra Leone,7075641,0.095%
SGP,Singapore,5607300,0.075%
SXM,Sint Maarten (Netherlands),39410,0.00053%
SVK,Slovakia,5426252,0.073%
SVN,Slovenia,2064241,0.028%
SLB,Solomon Islands,642000,0.009%
SOM,Somalia,11079000,0.15%
ZAF,South Africa,55908000,0.75%
KOR,South Korea,50801405,0.68%
SSD,South Sudan,12131000,0.16%
ESP,Spain,46812000,0.63%
LKA,Sri Lanka,21203000,0.28%
SDN,Sudan,41176000,0.55%
SUR,Suriname,541638,0.0073%
SWZ,Swaziland,1132657,0.015%
SWE,Sweden,9954420,0.13%
CHE,Switzerland,8364100,0.112%
SYR,Syria,18564000,0.25%
TWN,Taiwan,23519518,0.31%
TJK,Tajikistan,8551000,0.115%
TZA,Tanzania,55155000,0.74%
THA,Thailand,68145000,0.91%
TGO,Togo,7143000,0.096%
TKL,Tokelau (NZ),1411,0.000019%
TON,Tonga,103252,0.0014%
TTO,Trinidad and Tobago,1353895,0.018%
TUN,Tunisia,11154400,0.15%
TUR,Turkey,78741053,1.05%
TKM,Turkmenistan,4751120,0.064%
TCA,Turks and Caicos Islands (UK),31458,0.00042%
TUV,Tuvalu,10640,0.00014%
UGA,Uganda,36860700,0.49%
UKR,Ukraine,42635097,0.57%
ARE,United Arab Emirates,9856000,0.13%
GBR,United Kingdom,65110000,0.87%
USA,United States,325055000,4.35%
URY,Uruguay,3480222,0.047%
UZB,Uzbekistan,31575300,0.42%
VUT,Vanuatu,277500,0.0037%
VAT,Vatican City,842,0.000011%
VEN,Venezuela,31028700,0.42%
VNM,Vietnam,95261000,1.28%
WLF,Wallis and Futuna (France),11750,0.00016%
ESH,Western Sahara[Note 16],584000,0.0078%
YEM,Yemen,27478000,0.37%
ZMB,Zambia,15933883,0.21%
ZWE,Zimbabwe,14240168,0.19%
