06/17/16,154,127,188
06/18/16,141,113,174
06/19/16,143,116,168
06/20/16,152,138,162
06/21/16,178,135,224
06/22/16,194,138,229
06/23/16,204,187,267
06/24/16,182,122,213
06/25/16,152,112,192
06/26/16,149,115,183
06/27/16,147,100,178
06/28/16,154,103,189
06/29/16,155,133,188
06/30/16,153,141,181
07/01/16,160,139,170
07/02/16,149,126,174
07/03/16,151,112,189
07/04/16,169,115,216
07/05/16,149,122,179
07/06/16,142,103,179
07/07/16,162,96,214
07/08/16,164,136,193
07/09/16,170,119,212
07/10/16,195,163,238
07/11/16,175,159,197
07/12/16,168,130,198
07/13/16,143,105,179
07/14/16,144,117,176
07/15/16,157,125,197
07/16/16,180,151,195
07/17/16,176,141,210
07/18/16,184,135,229
07/19/16,217,135,283
07/20/16,241,184,317
07/21/16,216,171,277
07/22/16,190,162,231
07/23/16,187,165,217
07/24/16,199,163,243
07/25/16,182,142,217
07/26/16,180,136,225
07/27/16,174,128,214
07/28/16,170,117,208
07/29/16,183,156,215
07/30/16,175,149,207
07/31/16,161,130,203
08/01/16,160,129,199
08/02/16,168,135,196
08/03/16,187,165,210
08/04/16,176,146,209
08/05/16,167,134,201
08/06/16,165,119,213
08/07/16,182,121,221
08/08/16,159,104,188
08/09/16,133,97,174
08/10/16,117,73,166
08/11/16,140,78,169
08/12/16,173,150,196
08/13/16,163,114,195
08/14/16,153,103,194
08/15/16,143,82,197
08/16/16,146,90,191
08/17/16,161,87,223
08/18/16,155,79,206
08/19/16,179,102,236
08/20/16,176,150,210
08/21/16,163,147,194
08/22/16,177,152,199
08/23/16,209,177,255
08/24/16,240,181,295
08/25/16,242,195,304
08/26/16,198,132,232
08/27/16,183,112,230
08/28/16,201,172,239
08/29/16,164,114,200
08/30/16,170,106,223
08/31/16,181,128,242
09/01/16,167,124,206
09/02/16,173,128,209
09/03/16,181,159,213
09/04/16,173,154,202
09/05/16,173,127,215
09/06/16,183,129,232
09/07/16,198,141,259
09/08/16,195,141,251
09/09/16,181,136,225
09/10/16,192,149,242
09/11/16,184,156,219
09/12/16,213,165,276
09/13/16,237,161,302
09/14/16,233,187,294
09/15/16,217,183,270
09/16/16,182,159,208
09/17/16,169,105,222
09/18/16,164,121,204
09/19/16,146,95,199
09/20/16,139,81,190
09/21/16,153,94,196
09/22/16,154,83,199
09/23/16,144,89,213
09/24/16,163,91,214
09/25/16,169,123,241
09/26/16,137,92,190
09/27/16,146,69,196
09/28/16,177,158,198
09/29/16,167,143,189
09/30/16,138,105,177
10/01/16,130,100,180
10/02/16,120,89,155
10/03/16,135,80,177
10/04/16,124,86,165
10/05/16,94,62,131
10/06/16,97,23,136
10/07/16,118,104,138
10/08/16,94,57,130
10/09/16,78,22,133
10/10/16,67,2,125
10/11/16,97,37,131
10/12/16,97,80,121
10/13/16,83,61,99
10/14/16,85,67,105
10/15/16,102,83,131
10/16/16,126,83,174
10/17/16,122,97,165
10/18/16,98,68,129
10/19/16,89,59,115
10/20/16,90,34,120
10/21/16,82,34,120
10/22/16,70,14,117
10/23/16,72,20,115
10/24/16,63,29,91
10/25/16,73,4,120
10/26/16,75,1,116
10/27/16,122,95,154
10/28/16,121,82,158
10/29/16,89,50,137
10/30/16,106,56,125
10/31/16,111,80,157
11/01/16,97,59,136
11/01/15,91,28,173
11/02/15,79,16,150
11/03/15,110,21,209
11/04/15,137,108,175
